title,authors,year,venue,url,source,abstract,already_read
Firmware update attacks and security for IoT devices: Survey,M Bettayeb; Q Nasir; MA Talib,2019,Proceedings of the ArabWIC 6th Annual …,https://dl.acm.org/doi/abs/10.1145/3333165.3333169,Google Scholar,"secure firmware update  firmware analysis and vulnerability detection tools are presented.  We believe this paper will open the possibility for firmware analysis, attacks and security and",False
Firmup: Precise static detection of common vulnerabilities in firmware,Y David; N Partush; E Yahav,2018,ACM SIGPLAN Notices,https://dl.acm.org/doi/abs/10.1145/3296957.3177157,Google Scholar,Vulnerabilities and Exposures) in stripped firmware images. Our technique is able to efficiently  find vulnerabilities in real-world firmware  binary and a firmware image containing multiple,False
Vulnerability detection in iot firmware: A survey,W Xie; Y Jiang; Y Tang; N Ding,2017,2017 IEEE 23rd …,https://ieeexplore.ieee.org/abstract/document/8368433/,Google Scholar,on vulnerability detection in embedded system firmware. They classify existing methods of  firmware vulnerability detection  related works on vulnerability detection in IoT firmware. The,False
Toward hybrid static-dynamic detection of vulnerabilities in IoT firmware,D He; H Gu; T Li; Y Du; X Wang; S Zhu,2020,IEEE Network,https://ieeexplore.ieee.org/abstract/document/9246617/,Google Scholar,"of firmware security, we utilized crawlers to obtain data sets from official websites and forums.  For offline static detection, we crawled over 300 different versions of firmware (eg , firmware",False
Hybrid firmware analysis for known mobile and iot security vulnerabilities,P Sun; L Garcia; G Salles-Loustau,2020,2020 50th annual IEEE …,https://ieeexplore.ieee.org/abstract/document/9153399/,Google Scholar,efficient firmware vulnerability and patch presence detection  known vulnerability discoveries  in stripped firmware binaries  on 25 CVE vulnerabilities for 100 different Android firmware,False
Firmware Vulnerabilities,T Kaplan,NA,NA,,Google Scholar,,False
Cybersecurity of firmware updates,R Bielawski; R Gaynier; D Ma; S Lauzon,2020,NA,https://rosap.ntl.bts.gov/view/dot/55729,Google Scholar,"in updating the critical firmware in vehicles’ electronic  of firmware updates, understand their  vulnerabilities and update solutions, understand mitigation methods for those vulnerabilities,",False
Building secure firmware,J Yao; V Zimmer,2020,"Apress: New York, NY, USA",https://link.springer.com/content/pdf/10.1007/978-1-4842-6106-4.pdf,Google Scholar,"more firmware attacks appeared in different hacking conferences. This next wave of attacks  included  In the next chapter, we will discuss the proactive firmware security development.",False
Firmfuzz: Automated iot firmware introspection and analysis,P Srivastava; H Peng; J Li; H Okhravi,2019,… Security and Privacy for …,https://dl.acm.org/doi/abs/10.1145/3338507.3358616,Google Scholar,any of the vulnerabilities in our sample set of firmware images. The Firmadyne tests were  originally built for specific embedded devices and the probability of the same exploit working,False
"Firmware Security: Challenges, Vulnerabilities, and Mitigation Strategiesaddress",D Gujjula; GVK Reddy; PB Reddy,NA,Disruptive technologies in Computing …,https://www.taylorfrancis.com/chapters/edit/10.1201/9781032665535-45/firmware-security-challenges-vulnerabilities-mitigation-strategiesaddress-devi-gujjula-koti-reddy-bhaskar-reddy,Google Scholar,to compromise the security and integrity of embedded systems. This section examines some  common firmware vulnerabilities that pose significant risks to the overall security of devices.,False
Secure firmware validation and update for consumer devices in home networking,BC Choi; SH Lee; JC Na; JH Lee,2016,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7448561/,Google Scholar,"reveal such a firmware level exploit. A firmware validation that ensures firmware integrity is   recent firmware modification attacks and survey results. In Section III, the proposed secure",False
Defending against firmware cyber attacks on safety-critical systems,C Johnson; M Evangelopoulou,2018,Journal of System Safety,https://jsystemsafety.com/index.php/jss/article/view/83,Google Scholar,"firmware installation never terminates. In this paper, we present means of mitigating the risks  of firmware attacks  Technical solutions, including firmware hashing, must be augmented by",False
