title,authors,year,venue,url,source,abstract,already_read
Your firmware has arrived: A study of firmware update vulnerabilities,Y Wu; J Wang; Y Wang; S Zhai; Z Li; Y He,2024,33rd USENIX Security …,https://www.usenix.org/conference/usenixsecurity24/presentation/wu-yuhao,Google Scholar,"and categorizing 381 firmware update-related CVE reports. • A new approach for update  vulnerability detection: We propose a new firmware update vulnerability identification approach,",False
A review of IoT firmware vulnerabilities and auditing techniques,T Bakhshi; B Ghita; I Kuzminykh,2024,Sensors,https://www.mdpi.com/1424-8220/24/2/708,Google Scholar,"To this effect, this paper reviews the state-of-the-art technology in IoT firmware vulnerability   detecting firmware vulnerabilities. Beyond the technical aspects, state-of-the-art IoT firmware",False
Detecting vulnerability on IoT device firmware: A survey,X Feng; X Zhu; QL Han; W Zhou,2022,IEEE/CAA Journal of …,https://ieeexplore.ieee.org/abstract/document/9878283/,Google Scholar,"To help researchers and developers better understand firmware security, we conduct a  more comprehensive study on vulnerability detection techniques of IoT devices. In this survey,",False
Automatic vulnerability detection in embedded devices and firmware: Survey and layered taxonomies,A Qasem; P Shirani; M Debbabi; L Wang,2021,ACM Computing …,https://dl.acm.org/doi/abs/10.1145/3432893,Google Scholar,on the vulnerability detection mechanisms for firmware and  of vulnerabilities in embedded  devices and firmware images.  to embedded systems and firmware analysis and examine,False
Automated vulnerability detection and firmware hardening for industrial IoT devices,YG Hassan; A Collins,2023,International …,https://www.allmultidisciplinaryjournal.com/uploads/archives/20250117171248_MGE-2025-1-134.1.pdf,Google Scholar,"into firmware security, focusing on understanding vulnerabilities and developing mitigation  strategies. As firmware is the foundational layer for device functionality, its security is",False
A taxonomy of IoT firmware security and principal firmware analysis techniques,I Nadir; H Mahmood; G Asadullah,2022,International Journal of Critical …,https://www.sciencedirect.com/science/article/pii/S1874548222000373,Google Scholar,"Furthermore, a taxonomic classification of IoT firmware vulnerabilities has been presented.   detection of firmware vulnerabilities before doing a detailed analysis of existing vulnerability",False
Accurate and Efficient Recurring Vulnerability Detection for IoT Firmware,H Xiao; Y Zhang; M Shen; C Lin; C Zhang,2024,… Security,https://dl.acm.org/doi/abs/10.1145/3658644.3670275,Google Scholar,in firmware recurring vulnerability detection. ❶ The primary challenge is how to represent  the signatures of known firmware vulnerabilities for detecting recurring vulnerabilities across,False
"A survey on IoT & embedded device firmware security: architecture, extraction techniques, and vulnerability analysis frameworks",S Ul Haq; Y Singh; A Sharma; R Gupta,2023,Discover Internet of Things,https://link.springer.com/article/10.1007/s43926-023-00045-2,Google Scholar,"In this work, we have mainly focused on the firmware part. In order to perform firmware security  evaluation researchers have to get hold of the firmware and perform reverse engineering",False
A large-scale empirical analysis of the vulnerabilities introduced by third-party components in IoT firmware,B Zhao; S Ji; J Xu; Y Tian; Q Wei; Q Wang,2022,Proceedings of the 31st …,https://dl.acm.org/doi/abs/10.1145/3533767.3534366,Google Scholar,"current security issues of the firmware. Nevertheless, there is no publicly accessible firmware   Besides, more and more vendors begin to prohibit the public from downloading firmware",True
"Firmware Security: Challenges, Vulnerabilities, and Mitigation Strategiesaddress",D Gujjula; GVK Reddy; PB Reddy,NA,Disruptive technologies in Computing …,https://www.taylorfrancis.com/chapters/edit/10.1201/9781032665535-45/firmware-security-challenges-vulnerabilities-mitigation-strategiesaddress-devi-gujjula-koti-reddy-bhaskar-reddy,Google Scholar,to compromise the security and integrity of embedded systems. This section examines some  common firmware vulnerabilities that pose significant risks to the overall security of devices.,False
Firmware vulnerability detection in embedded systems and internet of things,S Hemram; GJW Kathrine; GM Palmer,2022,2022 International …,https://ieeexplore.ieee.org/abstract/document/10010804/,Google Scholar,of any piece of firmware. This paper reviewed and summarized some firmware vulnerabilities  and some of the embedded system vulnerability detection technology. Based on the review,False
